26,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,18,1,2
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,18,1,2
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,7,2,3
31,6,1,2
31,14,2,3
31,13,2,3
31,12,2,3
31,11,2,3
31,10,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,20,2,3
31,19,2,3
31,18,1,2
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,9,2,3
31,8,2,3
31,7,2,3
31,6,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,6,1,2
31,12,2,3
31,11,2,3
31,10,1,2
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,2
31,7,2,3
31,6,1,2
31,16,2,3
31,15,2,3
31,14,2,3
31,13,2,3
31,12,2,3
31,11,2,3
31,10,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,2
31,7,2,3
31,6,1,2
31,10,1,2
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
30,2,4,5
30,1,4,64
30,4,1,2
30,9,2,3
30,8,2,3
30,7,2,3
30,6,1,2
30,12,2,3
30,11,2,3
30,10,1,2
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,32,2,3
30,31,2,3
30,30,2,3
30,29,2,3
30,28,2,3
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,18,1,2
30,20,2,3
30,19,2,3
30,18,1,2
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,28,2,3
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,32,2,3
30,31,2,3
30,30,2,3
30,29,2,3
30,28,2,3
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,29,2,3
30,28,2,3
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,31,2,3
30,30,2,3
30,29,2,3
30,28,2,3
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,20,2,3
30,19,2,3
30,18,1,2
30,20,2,3
30,19,2,3
30,18,1,2
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,2
30,20,2,3
30,19,2,3
30,18,1,2
30,27,2,3
30,26,2,3
30,25,2,3
30,24,2,3
30,23,2,3
30,22,2,3
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,1
30,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,9,2,3
31,8,2,3
31,7,2,3
31,6,1,2
31,12,2,3
31,11,2,3
31,10,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,2
31,9,2,3
31,8,2,3
31,7,2,3
31,6,1,2
31,16,2,3
31,15,2,3
31,14,2,3
31,13,2,3
31,12,2,3
31,11,2,3
31,10,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,8,2,3
31,7,2,3
31,6,1,2
31,15,2,3
31,14,2,3
31,13,2,3
31,12,2,3
31,11,2,3
31,10,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,18,1,2
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,2
31,7,2,3
31,6,1,2
31,12,2,3
31,11,2,3
31,10,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,9,2,3
31,8,2,3
31,7,2,3
31,6,1,2
31,14,2,3
31,13,2,3
31,12,2,3
31,11,2,3
31,10,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,33,2,3
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,18,1,1
31,3,4,5
30,2,4,5
30,1,4,64
30,5,2,3
30,4,1,2
30,8,2,3
30,7,2,3
30,6,1,2
30,17,2,3
30,16,2,3
30,15,2,3
30,14,2,3
30,13,2,3
30,12,2,3
30,11,2,3
30,10,1,2
30,20,2,3
30,19,2,3
30,18,1,2
30,21,2,3
30,20,2,3
30,19,2,3
30,18,1,1
30,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,8,2,3
41,7,2,3
41,6,1,2
41,14,2,3
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,4,1,2
41,6,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,4,1,2
41,9,2,3
41,8,2,3
41,7,2,3
41,6,1,2
41,17,2,3
41,16,2,3
41,15,2,3
41,14,2,3
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,2
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,8,2,3
41,7,2,3
41,6,1,2
41,15,2,3
41,14,2,3
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,2
41,18,1,2
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,18,1,2
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,18,1,2
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,33,2,3
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,18,1,2
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,33,2,3
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,20,2,3
41,19,2,3
41,18,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,20,2,3
41,19,2,3
41,18,1,2
41,19,2,3
41,18,1,2
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,7,2,3
41,6,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,6,1,2
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,7,2,3
41,6,1,2
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,2
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,4,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,4,1,2
41,9,2,3
41,8,2,3
41,7,2,3
41,6,1,2
41,15,2,3
41,14,2,3
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,2
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,33,2,3
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,20,2,3
41,19,2,3
41,18,1,2
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,20,2,3
41,19,2,3
41,18,1,2
41,20,2,3
41,19,2,3
41,18,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,9,2,3
41,8,2,3
41,7,2,3
41,6,1,2
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,2
41,20,2,3
41,19,2,3
41,18,1,2
41,19,2,3
41,18,1,2
41,19,2,3
41,18,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,8,2,3
41,7,2,3
41,6,1,2
41,15,2,3
41,14,2,3
41,13,2,3
41,12,2,3
41,11,2,3
41,10,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,6,1,2
41,11,2,3
41,10,1,2
41,33,2,3
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,1
41,3,4,5
41,2,4,5
41,1,4,64
41,5,2,3
41,4,1,2
41,6,1,2
41,11,2,3
41,10,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,20,2,3
41,19,2,3
41,18,1,2
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,19,2,3
41,18,1,2
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
41,24,2,3
41,23,2,3
41,22,2,3
41,21,2,3
41,20,2,3
41,19,2,3
41,18,1,2
41,33,2,3
41,32,2,3
41,31,2,3
41,30,2,3
41,29,2,3
41,28,2,3
41,27,2,3
41,26,2,3
41,25,2,3
